40000
100000
290	 49051
202	 96310
155	 42049
76	 83742
217	 93125
288	 87377
81	 98387
449	 64860
407	 72566
498	 49303
470	 99799
152	 85265
378	 67677
373	 94818
69	 47653
191	 56872
46	 66515
266	 77748
371	 60175
112	 44387
70	 87647
415	 89478
207	 54344
236	 45265
487	 54241
482	 75985
44	 99442
330	 50342
293	 54006
225	 86160
103	 54990
349	 58931
493	 65403
131	 75893
71	 96897
67	 78398
181	 62979
32	 65432
401	 88345
429	 79443
8	 70629
162	 95257
394	 80091
391	 48380
406	 48985
497	 92453
4	 56925
353	 79911
268	 51732
464	 56620
331	 77975
379	 78346
452	 46657
437	 78125
433	 64758
412	 58261
328	 79558
299	 57295
25	 55669
463	 71028
226	 92970
198	 96975
317	 88787
410	 99499
210	 94486
305	 46055
352	 88246
33	 93514
118	 82183
294	 84046
170	 76359
370	 87713
183	 50553
420	 73199
104	 91250
481	 80292
6	 88607
404	 55771
478	 58418
388	 73803
251	 88770
347	 92431
165	 89622
105	 69528
462	 55449
413	 97338
313	 88566
359	 41780
469	 86828
40	 48930
78	 86213
457	 98713
84	 88304
93	 43596
94	 82967
253	 61407
261	 43837
175	 88590
334	 86489
374	 47807
41	 58061
246	 77661
444	 45426
436	 50942
405	 68324
135	 84735
309	 85591
346	 43133
136	 58716
108	 41595
271	 90814
245	 49289
90	 88912
77	 75732
24	 45574
102	 99959
384	 77549
460	 84730
485	 88750
180	 49386
338	 76230
431	 53652
188	 87833
65	 44496
209	 81587
177	 67681
233	 70673
230	 80186
64	 88760
168	 58479
166	 91758
72	 65628
386	 65198
381	 66354
192	 40428
369	 95488
495	 58768
133	 75099
3	 62937
86	 95063
262	 93857
468	 68863
134	 99643
66	 80836
248	 47529
190	 51840
296	 41443
144	 96898
426	 57030
9	 78144
357	 82928
150	 46897
92	 71741
307	 84379
160	 80785
242	 95527
54	 54619
332	 67941
35	 68305
196	 82688
438	 71727
360	 93583
375	 81001
327	 56704
2	 83875
455	 91928
432	 52043
364	 44913
139	 95786
106	 48635
368	 76905
339	 44951
49	 63012
13	 46492
23	 89622
295	 53575
316	 92505
88	 53541
80	 91301
272	 96023
149	 59651
291	 80988
421	 92481
484	 76717
231	 85850
283	 46066
12	 80927
85	 86381
466	 88794
224	 77536
214	 91794
377	 99695
227	 56080
200	 45377
14	 68992
219	 48963
492	 71466
356	 64502
96	 95835
111	 73269
383	 58894
324	 94031
124	 98623
222	 87631
53	 54799
179	 80355
113	 45041
21	 67989
281	 88903
446	 89470
475	 77146
306	 50286
471	 45994
259	 54838
490	 44325
56	 61395
395	 67952
315	 73447
87	 77211
97	 57452
491	 46887
363	 58657
121	 80720
48	 64653
335	 95680
213	 83888
389	 59186
396	 46200
51	 91027
278	 64259
323	 63328
62	 89139
418	 76840
486	 53134
59	 54032
239	 82679
494	 61869
333	 90278
140	 99339
301	 75572
265	 66880
50	 75643
350	 50550
232	 41756
428	 97569
419	 95978
142	 40562
31	 60046
20	 99835
263	 95423
392	 57626
300	 78833
61	 76380
110	 85885
161	 91258
234	 46067
238	 93191
284	 54558
277	 49161
171	 66152
422	 96552
249	 47933
27	 43042
342	 52951
279	 55490
302	 82792
310	 51200
47	 68498
5	 44153
382	 96658
292	 67540
260	 72876
173	 91583
254	 92677
182	 59955
151	 84450
83	 45760
465	 80709
425	 96736
37	 82409
138	 76022
255	 43632
42	 79144
176	 89505
163	 86327
143	 40458
489	 83031
216	 87128
430	 56519
483	 46774
472	 80056
218	 71422
304	 87760
298	 47562
130	 91475
448	 44511
205	 91582
55	 65527
443	 46644
365	 87962
208	 54372
16	 81623
488	 73857
145	 92121
215	 95753
458	 88628
243	 86193
211	 95593
479	 40526
201	 92017
403	 99450
100	 63834
477	 46247
164	 65328
30	 81336
95	 95214
303	 64346
141	 80504
297	 54307
63	 58789
169	 46454
416	 96537
344	 56470
411	 45585
372	 53590
361	 54993
476	 61986
167	 97376
285	 46385
73	 53701
314	 73933
257	 49557
60	 59480
453	 53701
74	 43906
256	 86058
456	 65769
454	 85645
123	 76601
311	 40000
269	 81440
414	 83654
82	 62811
273	 89585
237	 47727
39	 74161
107	 81931
184	 56485
58	 51431
